chaveTituloAno	ano	autor	instituicao	cidade	cidadeReconciliada	latitude	longitude	estado	pais
aadfne2022	2022	Fabio Castro Gouveia	UFRJ	Rio de Janeiro	Rio de Janeiro	-22.91111111111111	-43.205555555555556	RJ	Brasil
aadfne2022	2022	Skrol Salustiano	UFRJ	Rio de Janeiro	Rio de Janeiro	-22.91111111111111	-43.205555555555556	RJ	Brasil
adrdcd2022	2022	Fernanda Silva Coimbra	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
adrdcd2022	2022	Ronaldo Ferreira de Araújo	UFAL	Maceió	Maceió	-9.6658333333333	-35.735	AL	Brasil
adrdcd2022	2022	Thiago Magela Rodrigues Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ai4sop2022	2022	Jacqueline Zonichenn Reis	UNIP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
ardodc2022	2022	Ana Cristina de Albuquerque	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
ardodc2022	2022	Ania Rosa Hernandez Quintana	Universidad de La Habana	Havana	Havana	23.136666666667	-82.358888888889		Cuba
ardodc2022	2022	Marcos Antonio de Moraes	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
awsanr2022	2022	Alessandra Monteiro Pattuzzo Caetano	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
awsanr2022	2022	Henrique Monteiro Cristovão	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
awsanr2022	2022	Stella Schwanz Dias de Assis	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
bmtfda2022	2022	Dalton Lopes Martins	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
bmtfda2022	2022	Joyce Siqueira	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
bmtfda2022	2022	Vinícius Nunes Medeiros	Tainacan	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
cadapn2022	2022	Fábio Parra Furlanete	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
cadapn2022	2022	José Eduardo Santarem Segundo	USP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
cadapn2022	2022	Liliane Cristina Soares Sousa	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
cddurd2022	2022	Aurea Celeste Pires de Souza	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
cddurd2022	2022	Clarice Luzia Casoni	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
cddurd2022	2022	José Eduardo Santarem Segundo	USP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
cddurd2022	2022	Merabe Carvalho Ferreira da Gama	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
cecdvb2022	2022	Ana Clara Cândido	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
cecdvb2022	2022	Nathalia Berger Werlang	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
cecdvb2022	2022	Priscila Machado Borges Sena	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
cinddc2022	2022	Gercina Ângela de Lima	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
cinddc2022	2022	Rafael Rocha	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
daràmi2022	2022	Diego José Macedo	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
daràmi2022	2022	Maison Roberto M. Gonçalves	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
daràmi2022	2022	Milton Shintaku	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
daràmi2022	2022	Rosilene Paiva Marinho de Sousa	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
ddcaàb2022	2022	Henrique Monteiro Cristovão	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddcaàb2022	2022	Lucas Vale	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddfure2022	2022	Alexandre Rodrigues Loureiros	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddfure2022	2022	Flávio Miguel Varejão	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddfure2022	2022	Igor Varejão	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddfure2022	2022	Thiago Olivera dos Santos	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddreeb2022	2022	Daniela Lucas da Silva Lemos	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddreeb2022	2022	Henrique Monteiro Cristovão	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddreeb2022	2022	Juliana Rodrigues de Lima Meirelles	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddvdfd2022	2022	Flávio Miguel Varejão	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
ddvdfd2022	2022	Jordana Lucia Reis	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
hfbewp2022	2022	Alexandre Augusto Gimenes Marquez Filho	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
hfbewp2022	2022	Douglas Dyllon Jeronimo de Macedo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
